215,putussibau,1,7,1
216,raha,1,8,1
217,rangkasbitung,1,7,1
218,rantau,1,8,1
219,rantauprapat,1,7,1
220,rantepao,1,8,1
221,rembang,1,7,1
222,rengat,1,7,1
223,ruteng,1,8,1
224,sabang,1,7,1
225,salatiga,1,7,1
226,samarinda,1,8,1
227,sampang,1,7,1
228,sampit,1,7,1
229,sanggau,1,7,1
230,sawahlunto,1,7,1
231,sekayu,1,7,1
232,selong,1,8,1
233,semarang,1,7,1
234,sengkang,1,8,1
235,serang,1,7,1
236,serui,1,9,1
237,sibolga,1,7,1
238,sidikalang,1,7,1
239,sidoarjo,1,7,1
240,sigli,1,7,1
241,singaparna,1,7,1
242,singaraja,1,8,1
243,singkawang,1,7,1
244,sinjai,1,8,1
245,sintang,1,7,1
246,situbondo,1,7,1
247,slawi,1,7,1
248,sleman,1,7,1
249,soasiu,1,8,1
250,soe,1,8,1
251,solo,1,7,1
252,solok,1,7,1
253,soreang,1,7,1
254,sorong,1,9,1
255,sragen,1,7,1
256,stabat,1,7,1
257,subang,1,7,1
258,sukabumi,1,7,1
259,sukoharjo,1,7,1
260,sumbawa besar,1,8,1
261,sumedang,1,7,1
262,sumenep,1,7,1
263,sungai liat,1,7,1
264,sungai penuh,1,7,1
265,sungguminasa,1,8,1
266,surabaya,1,7,1
267,surakarta,1,7,1
268,tabanan,1,8,1
269,tahuna,1,8,1
270,takalar,1,8,1
271,takengon,1,7,1
272,tamiang layang,1,8,1
273,tanah grogot,1,8,1
274,tangerang,1,7,1
275,tanjung balai,1,7,1
276,tanjung enim,1,7,1
277,tanjung pandan,1,7,1
278,tanjung pinang,1,7,1
279,tanjung redep,1,8,1
280,tanjung selor,1,8,1
281,tapak tuan,1,7,1
282,tarakan,1,8,1
283,tarutung,1,7,1
284,tasikmalaya,1,7,1
285,tebing tinggi,1,7,1
286,tegal,1,7,1
287,temanggung,1,7,1
288,tembilahan,1,7,1
289,tenggarong,1,7,1
290,ternate,1,9,1
291,tolitoli,1,8,1
292,tondano,1,8,1
293,trenggalek,1,7,1
294,tual,1,9,1
